tag,name,flag,flag_square,flag_round
Botswana,Botswana,https//cdn.countryflags.com/thumbs/botswana/flag-400.png,https//cdn.countryflags.com/thumbs/botswana/flag-square-250.png,https//cdn.countryflags.com/thumbs/botswana/flag-round-250.png
Jordan,Jordan,https//cdn.countryflags.com/thumbs/jordan/flag-400.png,https//cdn.countryflags.com/thumbs/jordan/flag-square-250.png,https//cdn.countryflags.com/thumbs/jordan/flag-round-250.png
Jamaica,Jamaica,https//cdn.countryflags.com/thumbs/jamaica/flag-400.png,https//cdn.countryflags.com/thumbs/jamaica/flag-square-250.png,https//cdn.countryflags.com/thumbs/jamaica/flag-round-250.png
Libya,Libya,https//cdn.countryflags.com/thumbs/libya/flag-400.png,https//cdn.countryflags.com/thumbs/libya/flag-square-250.png,https//cdn.countryflags.com/thumbs/libya/flag-round-250.png
Oman,Oman,https//cdn.countryflags.com/thumbs/oman/flag-400.png,https//cdn.countryflags.com/thumbs/oman/flag-square-250.png,https//cdn.countryflags.com/thumbs/oman/flag-round-250.png
Niger,Niger,https//cdn.countryflags.com/thumbs/niger/flag-400.png,https//cdn.countryflags.com/thumbs/niger/flag-square-250.png,https//cdn.countryflags.com/thumbs/niger/flag-round-250.png
Suriname,Suriname,https//cdn.countryflags.com/thumbs/suriname/flag-400.png,https//cdn.countryflags.com/thumbs/suriname/flag-square-250.png,https//cdn.countryflags.com/thumbs/suriname/flag-round-250.png
Rwanda,Rwanda,https//cdn.countryflags.com/thumbs/rwanda/flag-400.png,https//cdn.countryflags.com/thumbs/rwanda/flag-square-250.png,https//cdn.countryflags.com/thumbs/rwanda/flag-round-250.png
Vietnam,Vietnam,https//cdn.countryflags.com/thumbs/vietnam/flag-400.png,https//cdn.countryflags.com/thumbs/vietnam/flag-square-250.png,https//cdn.countryflags.com/thumbs/vietnam/flag-round-250.png
The_Philippines,The Philippines,https//cdn.countryflags.com/thumbs/philippines/flag-400.png,https//cdn.countryflags.com/thumbs/philippines/flag-square-250.png,https//cdn.countryflags.com/thumbs/philippines/flag-round-250.png
Portugal,Portugal,https//cdn.countryflags.com/thumbs/portugal/flag-400.png,https//cdn.countryflags.com/thumbs/portugal/flag-square-250.png,https//cdn.countryflags.com/thumbs/portugal/flag-round-250.png
Tunisia,Tunisia,https//cdn.countryflags.com/thumbs/tunisia/flag-400.png,https//cdn.countryflags.com/thumbs/tunisia/flag-square-250.png,https//cdn.countryflags.com/thumbs/tunisia/flag-round-250.png
Luxembourg,Luxembourg,https//cdn.countryflags.com/thumbs/luxembourg/flag-400.png,https//cdn.countryflags.com/thumbs/luxembourg/flag-square-250.png,https//cdn.countryflags.com/thumbs/luxembourg/flag-round-250.png
Georgia,Georgia,https//cdn.countryflags.com/thumbs/georgia/flag-400.png,https//cdn.countryflags.com/thumbs/georgia/flag-square-250.png,https//cdn.countryflags.com/thumbs/georgia/flag-round-250.png
Madagascar,Madagascar,https//cdn.countryflags.com/thumbs/madagascar/flag-400.png,https//cdn.countryflags.com/thumbs/madagascar/flag-square-250.png,https//cdn.countryflags.com/thumbs/madagascar/flag-round-250.png
Spain,Spain,https//cdn.countryflags.com/thumbs/spain/flag-400.png,https//cdn.countryflags.com/thumbs/spain/flag-square-250.png,https//cdn.countryflags.com/thumbs/spain/flag-round-250.png
Switzerland,Switzerland,https//cdn.countryflags.com/thumbs/switzerland/flag-400.png,https//cdn.countryflags.com/thumbs/switzerland/flag-square-250.png,https//cdn.countryflags.com/thumbs/switzerland/flag-round-250.png
Afghanistan,Afghanistan,https//cdn.countryflags.com/thumbs/afghanistan/flag-400.png,https//cdn.countryflags.com/thumbs/afghanistan/flag-square-250.png,https//cdn.countryflags.com/thumbs/afghanistan/flag-round-250.png
Tanzania,Tanzania,https//cdn.countryflags.com/thumbs/tanzania/flag-400.png,https//cdn.countryflags.com/thumbs/tanzania/flag-square-250.png,https//cdn.countryflags.com/thumbs/tanzania/flag-round-250.png
Russia,Russia,https//cdn.countryflags.com/thumbs/russia/flag-400.png,https//cdn.countryflags.com/thumbs/russia/flag-square-250.png,https//cdn.countryflags.com/thumbs/russia/flag-round-250.png
